77,77,77,76,75
72,71,71,70,70
69,69,68,68,68
76,76,76,76,76
69,69,69,69,69
76,76,76,76,76
69,69,68,68,68
69,69,69,69,69
77,77,77,76,75
72,71,71,70,70
69,69,68,68,68
77,77,77,76,75
69,69,69,69,69
71,71,71,71,71
77,77,77,76,75
69,69,68,68,68
69,69,68,68,68
65,64,64,63,63
76,76,76,76,76
72,71,71,70,70
72,71,71,70,70
69,69,69,69,69
69,69,68,68,68
65,64,64,63,63
69,69,69,69,69
71,71,71,71,71
72,71,71,70,70
72,71,71,70,70
69,69,68,68,68
69,69,68,68,68
69,69,69,69,69
69,69,68,68,68
69,69,68,68,68
69,69,68,68,68
76,76,76,76,76
77,77,77,76,75
72,71,71,70,70
77,77,77,76,75
76,76,76,76,76
72,71,71,70,70
69,69,68,68,68
77,77,77,76,75
72,71,71,70,70
69,69,69,69,69
71,71,71,71,71
77,77,77,76,75
72,71,71,70,70
65,64,64,63,63
76,76,76,76,76
69,69,69,69,69
69,69,69,69,69
