73,73,72,72,72
74,74,74,74,74
73,73,72,72,72
69,69,69,69,69
71,71,71,71,70
74,74,74,74,74
74,74,73,73,73
73,72,72,72,72
69,69,69,69,69
75,75,75,74,74
67,67,67,67,67
67,67,67,66,66
67,66,66,66,66
71,71,71,71,71
69,69,69,69,69
70,70,70,70,70
67,67,67,67,67
73,73,73,73,73
73,73,73,73,73
67,67,67,67,67
74,74,74,74,74
71,71,71,71,70
73,73,73,73,73
67,67,67,66,66
71,71,71,71,71
71,71,71,71,71
74,74,73,73,73
73,73,73,73,73
73,73,73,73,73
73,73,72,72,72
74,74,74,74,74
71,71,71,71,71
67,67,67,67,67
74,74,73,73,73
70,69,69,69,67
67,67,67,67,67
73,73,73,73,73
74,74,74,74,74
73,73,72,72,72
73,73,72,72,72
73,73,72,72,72
75,75,75,74,74
73,73,72,72,72
67,66,66,66,66
73,72,72,72,72
74,74,73,73,73
74,74,71,71,70
70,70,70,70,70
74,74,74,74,74
75,75,75,74,74
73,73,73,73,73
